monobit_test_ones_count,monobit_test_zeroes_count,monobit_test_p,frequency_within_block_test_p,runs_test_p,longest_run_ones_in_a_block_test_p,binary_matrix_rank_test_p,dft_test_p,approximate_entropy_test_p,serial_test_p,cumulative_sums_test_p,non_overlapping_template_matching_test_p,label
32603,33061,0.07388611870531135,0.9436323798046339,0.8981270267667893,0.7038792324957825,0.7381079341184484,0.059609364671705134,0.16454274271963773,0.1633487878625877,0.11576510317199151,0.9998783739047301,AES
32901,32699,0.43030052314498646,0.5500950209000957,0.45493524410474406,0.17072070722947139,0.8336613398802774,0.1623173612811678,0.8206414483504202,0.8196880419686691,0.33619136274991646,0.9999999988316882,3DES
32703,32961,0.3140165967310028,0.7791008317059605,0.06604302767906532,0.20800436357766436,0.061464182788455814,0.28913863736098133,0.3670174678530513,0.35834885029818503,0.5337013392372139,0.9999994955948092,AES
32998,32602,0.1220755308503237,0.40277954162568924,0.1556926006193865,0.14321874636019924,0.8160668284102506,0.18495148970562528,0.2246107898798518,0.22043886588907768,0.2240863344779891,0.9999999979063721,3DES
32832,32768,0.8026816823825529,0.5114165364742405,0.4918250340188338,0.525299941380565,0.03244357086514055,0.17335848376627339,0.9092720150506124,0.9086262757085729,0.40314576222793885,0.9999999957525896,RC4
32920,32680,0.34873666013880517,0.47128143937228467,0.5046599603337892,0.05885834627542325,0.8336613395022063,0.9144033087272484,0.7530927233581103,0.7569503025536348,0.1207651714221909,1.0000000071700017,CAST
32819,32781,0.8820546620547354,0.7401878872029886,0.6450663740910378,0.10348340483053614,0.5898473382007025,0.942874529880778,0.8272794421817649,0.8249580585767832,0.282055274408163,0.9999999928402078,Blowfish
32683,32917,0.36091838958075434,0.8985200850546353,0.6928508719321269,0.520474606510737,0.9821506130805011,0.6413777524167892,0.9842425512470173,0.9841536812605728,0.6048571620316556,0.999992731147752,Blowfish
32919,32681,0.3527678912478873,0.4298102781707401,0.5248524155901249,0.922236385888765,0.7392907181095738,0.5424659724029122,0.8023965548379682,0.8030803062779851,0.13416000857032273,0.9999998513041543,RC4
32876,32724,0.5528731473805818,0.6284226115320671,0.17220507542610333,0.8486376953642961,0.5898473373536199,0.496032448341659,0.3666709318316758,0.3669811257983566,0.4977225853332303,0.9995232295472185,CAST
32802,32798,0.9875396431792867,0.538521342439297,0.07004545865633072,0.8761293377490016,0.8681862924886302,0.4099051721309135,0.6012243805702658,0.599046478977779,0.9886030012826037,0.9999999768866754,CAST
32958,32642,0.21728760786508663,0.8631116396903613,0.18495823387253843,0.7838894906955747,0.7910198056943819,0.8019679472366796,0.7569247776152603,0.7575761331330662,0.4341462524263475,0.9999999822798668,Blowfish
32692,32908,0.3990392604581152,0.4346469312615041,0.45514486845251506,0.2248797990487568,0.7910198056943819,0.09219137946015299,0.78129779873772,0.7802508778982805,0.1425230269039781,0.9999999987566238,RC4
32907,32693,0.4034195734182658,0.4784473662056985,0.42732993891779286,0.44467014308779534,0.5898473373536199,0.5189810213945527,0.3009996931424149,0.3022438083835022,0.23122430440606934,0.9999729811844592,3DES
32793,32871,0.7608304892763661,0.7232678992545201,0.48705716131242105,0.7389554261422753,0.917922441135962,0.6262349110633778,0.8939103263947352,0.8943529044131857,0.8744499271571433,0.9999999882071456,AES
32697,32903,0.4212266975344069,0.429310841625664,0.011577836996627719,0.7554887885816941,0.396996201546946,0.4305611313584348,0.05383175515188394,0.053537711380122116,0.3434685675114979,0.9999999994332787,3DES
32793,32807,0.9564086864419457,0.46804662583051926,0.13998941369434076,0.9964323898179255,0.460479734253356,0.4099051721309135,0.08677227461911581,0.08870326381426691,0.9868802686487534,0.9999999992950865,3DES
32966,32634,0.1948920467723458,0.5744064127142862,0.9616351129212816,0.9581021545620024,0.6327117127193927,0.496032448341659,0.885115290662744,0.8865834420539586,0.22942328457925254,0.9999986184069863,CAST
32935,32665,0.29180376822674264,0.5424949321281375,0.5499672222022393,0.2965063586787352,0.6240713193059849,0.8860415103014305,0.655637216081343,0.6541440307660614,0.3266674080628207,0.9999978891625632,CAST
32798,32802,0.9875396431792867,0.8672804503940388,0.07760367884467002,0.8481378274017032,0.4252695627174757,0.03770331242042291,0.45976315084742175,0.4644954669653829,0.8923396503870249,1.0000000003020413,Blowfish
32867,32733,0.6008475351026585,0.9722885163787944,0.9386088221129572,0.8243252563975855,0.9114188550031002,0.10689834402088824,0.8781166652761566,0.878287350913696,0.8550159596131901,0.9999999985403676,RC4
32797,32803,0.9813104144169349,0.8053800619003281,0.340763474845893,0.3426776177976838,0.2662213843175597,0.03452428991026701,0.6121318338461349,0.6150279154049065,0.9769954117863198,0.9999984248589667,CAST
32968,32632,0.18956751099950192,0.18461298658665048,0.5263355263117454,0.5298542831757275,0.8681862924886302,0.6672359277964863,0.0595218022530273,0.06071008953831744,0.3104879160207359,1.0000000000528801,Blowfish
33074,32526,0.03238868083949431,0.8337158524941193,0.40651910282303,0.560806365401753,0.38685067028260306,0.6672359277964863,0.30679352801597554,0.3087249790341109,0.03634071993666743,0.999999990679682,CAST
32904,32696,0.41673220956409734,0.028582907325188336,0.5185691174600098,0.9393810952007128,0.9821506130805011,0.044812712144537865,0.7000368784137354,0.7008231687019405,0.676647025982605,0.9999180130753516,Blowfish
32653,32947,0.2510192824082451,0.7654932108999466,0.43330491662567605,0.9367824415159541,0.816066828800903,0.4736367674411152,0.2630772754033532,0.26119531029504706,0.21370629938563646,0.9999923173739383,RC4
32802,32798,0.9875396431792867,0.22791306710287249,0.5528737830316055,0.8017772524644095,0.006265189399098009,0.06244913423315843,0.6986814700634029,0.6987668257859191,0.4399540850736299,0.9999880266295357,RC4
32593,33071,0.06213001587754523,0.7377533428396326,0.31122381636304786,0.2525693323013378,0.40481141891279965,0.8974205452681513,0.12787185062396142,0.13428425610641942,0.09486003464019088,0.9999999937125116,AES
32907,32693,0.4034195734182658,0.870455999224918,0.13925167986011888,0.044871503614099736,0.7381079341184484,0.9714189339546523,0.012310278250309987,0.012354414416071513,0.644015393783552,0.9999998226617318,3DES
32947,32653,0.2510192824082451,0.8040865396913875,0.06688972379515438,0.13380795001952303,0.6025645264853575,0.6413777524167892,0.17808603816521876,0.17549934365659495,0.47283217312575143,0.9999973366254767,3DES
32894,32770,0.6284549458903865,0.5120591738196701,0.46259818059089897,0.5602713791295448,0.00014381392369637805,0.11843632161822852,0.49745912202924975,0.4985764664371383,0.8866676026328983,0.9999999967060563,AES
32959,32641,0.2143910452913161,0.5525124427764679,0.7620758909427795,0.25266328958828593,0.06467316479974644,0.7743958359908458,0.7016050258261107,0.7035533649116491,0.37634848888573025,0.9999999926686697,RC4
32628,32972,0.17924142411653465,0.9139541484700439,0.04304516502044165,0.09871255536242,0.7392907181095738,0.5664690090384878,0.037086442668767865,0.036938352692277,0.18183293416483193,0.999999967432713,CAST
32831,32769,0.808726441941676,0.6196533696568792,0.12391621736423465,0.3566661990439622,0.2662213843175597,0.22315693881192802,0.09735285872693196,0.10327401471899363,0.5667671075096414,0.9999999974763836,Blowfish
32535,33065,0.0385177237359562,0.5554471563293295,0.9138151319167446,0.33668282342854805,0.8498631286085935,0.8019679472366796,0.26684509534565937,0.278011787090708,0.05587744959814578,1.0000000032754202,CAST
32845,32755,0.725295060231899,0.6968430464101056,0.34448780883033403,0.35560600298864814,0.31106583595073173,0.03770331242042291,0.34080762395157443,0.34295479526622846,0.6119047676576637,0.9999999983782347,CAST
32740,32860,0.639411852803375,0.9466255374535171,0.7013608935586868,0.09781894893591271,0.535216453214356,0.942874529880778,0.4917152248382369,0.4907985018192478,0.6912642906805637,0.9999999975379844,3DES
32697,32967,0.29203904905029643,0.5217057626997175,0.3507532715119972,0.04079301113059607,0.5898473382007025,0.10398563065578374,0.34259382451123127,0.33885445473417497,0.5304118503917084,0.9999999960222232,AES
32870,32794,0.7667829770176176,0.8508317726313985,0.29188121389205013,0.3748762404331967,0.8814196436420729,0.17814031052607485,0.6522665979441112,0.6507802596442026,0.5604295910641988,1.000000035448967,AES
32869,32731,0.5900252234918069,0.928025793843922,0.2473441077599411,0.3930868467232116,0.5755524779107816,0.10689834402088824,0.49763207069569065,0.4951209071506119,0.7571863660204361,0.9999999997816844,3DES
32887,32713,0.49691240785730073,0.5196960790611301,0.6688849108374477,0.7150976334371394,0.917922441135962,0.8019679472366796,0.651049572407699,0.6498547972500287,0.286294977620857,0.999999998902244,3DES
32904,32760,0.574149072797162,0.8322471585045087,0.8585024659187556,0.07852248335564269,0.21047204186508459,0.8974205452681513,0.46090972965241317,0.4627380687057938,0.6444576835597771,0.9999999966080715,AES
